,frequency,frequency_ham,frequency_spam
vinc,8532,8531,1
pleas,5113,4494,619
kaminski,4801,4801,0
thank,3730,3558,172
forward,3161,2952,209
time,3145,2552,593
research,2820,2752,68
market,2750,2150,600
work,2708,2293,415
inform,2701,1883,818
price,2694,2191,503
meet,2623,2544,79
know,2614,2345,269
group,2604,2474,130
manag,2600,2334,266
may,2465,1976,489
use,2330,1784,546
need,2328,1890,438
busi,2313,1416,897
compani,2290,1225,1065
new,2281,1777,504
mail,2269,1352,917
risk,2267,2097,170
model,2199,2170,29
energi,2179,2124,55
power,2117,1972,145
one,2108,1516,592
email,2066,1201,865
regard,2045,1859,186
look,2003,1607,396
messag,1983,1538,445
let,1963,1856,107
year,1886,1520,366
make,1884,1281,603
develop,1882,1691,191
day,1860,1440,420
interest,1811,1426,385
corp,1692,1643,49
shirley,1689,1687,2
call,1687,1497,190
week,1669,1454,215
edu,1627,1620,7
houston,1582,1577,5
see,1567,1238,329
receiv,1557,830,727
follow,1552,1308,244
contact,1543,1301,242
present,1543,1397,146
project,1522,1328,194
want,1488,1068,420
option,1488,1432,56
program,1438,1080,358
commun,1434,1304,130
help,1430,1168,262
list,1410,907,503
provid,1405,970,435
send,1379,986,393
trade,1366,1167,199
take,1361,1057,304
request,1344,1227,117
servic,1337,942,395
interview,1333,1320,13
discuss,1326,1270,56
confer,1297,1264,33
best,1291,933,358
report,1259,752,507
includ,1238,924,314
think,1216,1084,132
order,1208,667,541
product,1197,776,421
date,1187,1060,127
number,1182,951,231
attach,1176,1155,21
offer,1171,643,528
address,1154,693,461
question,1152,1069,83
avail,1152,872,280
next,1145,975,170
free,1141,535,606
sent,1126,971,155
visit,1126,920,206
well,1125,961,164
system,1118,816,302
crenshaw,1115,1115,0
posit,1104,917,187
good,1097,876,221
name,1089,745,344
state,1086,806,280
financ,1073,1038,35
schedul,1071,1054,17
ga,1070,905,165
offic,1068,935,133
univers,1059,1025,34
give,1055,883,172
stinson,1051,1051,0
current,1044,841,203
john,1042,1022,20
fax,1038,963,75
chang,1035,831,204
phone,1001,858,143
last,994,871,123
talk,981,943,38
review,976,834,142
process,975,826,149
industri,970,731,239
credit,960,798,162
peopl,958,599,359
data,955,868,87
gener,951,742,209
issu,944,865,79
resum,933,928,5
team,926,850,76
first,921,720,201
opportun,918,760,158
site,913,458,455
two,911,787,124
financi,909,702,207
plan,904,738,166
come,903,748,155
origin,892,796,96
start,880,580,300
ask,871,797,74
find,867,665,202
invest,867,327,540
way,864,586,278
back,864,739,125
ee,863,863,0
much,861,669,192
hope,858,828,30
secur,857,337,520
support,854,734,120
friday,854,847,7
london,843,828,15
rice,843,842,1
dear,838,734,104
base,837,635,202
account,829,401,428
today,828,577,251
respons,824,711,113
oper,820,669,151
cost,810,639,171
month,797,585,212
copi,797,700,97
possibl,796,712,84
custom,796,433,363
access,789,617,172
lon,786,779,7
term,786,625,161
particip,782,717,65
associ,777,715,62
money,776,114,662
addit,774,648,126
file,770,659,111
click,769,217,552
