,frequency
ect,11776
hou,7279
enron,5768
deal,3272
ga,2654
meter,2508
pleas,2465
hpl,2204
thank,1853
corp,1698
daren,1697
need,1586
forward,1580
volum,1532
ectcc,1386
subject,1372
mmbtu,1354
know,1347
pmto,1343
day,1190
chang,1134
nom,1122
attach,1104
amto,1093
farmer,1069
let,1031
xl,1019
contract,981
see,970
price,944
nomin,940
new,933
may,912
month,827
product,823
flow,821
question,807
robert,801
sitara,795
call,781
follow,777
juli,775
texa,731
messag,727
ectsubject,725
sale,725
file,719
ticket,717
pec,709
ena,693
mail,687
time,663
inform,654
energi,610
actual,594
origin,580
purchas,546
one,546
manag,541
want,533
schedul,532
list,520
use,519
number,496
alloc,492
march,492
gari,488
april,487
work,483
mari,476
bob,467
effect,463
deliveri,462
transport,452
servic,445
plant,442
daili,440
look,436
receiv,436
request,435
per,435
help,433
teco,428
net,426
revis,424
issu,422
compani,419
back,417
set,406
report,403
tenaska,402
make,401
system,397
ami,397
vanc,390
take,385
show,384
june,384
current,380
order,379
creat,378
sent,369
addit,365
georg,365
well,364
email,362
activ,359
houston,358
contact,353
point,352
fuel,351
meet,350
path,348
north,348
week,345
first,343
tap,340
agreement,338
america,333
trade,331
rate,329
jacki,328
desk,327
think,324
januari,324
smith,323
pipelin,322
melissa,320
busi,317
cotten,316
pat,315
group,314
enroncc,312
date,308
oper,302
name,301
august,301
provid,301
octob,300
lisa,299
market,299
chokshi,299
base,297
confirm,294
note,293
avail,292
account,291
today,290
taylor,288
aime,286
enter,286
counterparti,286
year,285
friday,285
util,285
oil,284
steve,283
david,280
process,280
send,278
less,277
updat,277
includ,275
susan,275
plan,274
hplc,274
total,274
duke,272
megan,271
john,269
custom,269
hsc,267
last,266
line,265
septemb,261
team,257
correct,257
resourc,255
mark,255
lloyd,254
februari,254
tom,254
michael,254
spot,253
problem,253
decemb,253
fee,252
eastran,252
next,250
sure,249
start,247
two,247
give,247
novemb,246
inc,246
fyi,246
end,245
feb,244
offic,242
term,242
aol,240
regard,240
invoic,240
discuss,239
due,239
transact,238
monday,237
fax,237
grave,236
suppli,234
come,234
clyne,234
wellhead,233
brian,233
unifi,233
check,232
hplno,224
txu,224
review,223
employe,222
find,222
still,220
extend,220
global,220
jan,220
continu,219
place,218
howard,217
complet,215
meyer,214
lannou,214
thursday,214
ask,212
tri,212
young,207
estim,206
hank,205
put,204
respons,202
lee,200
made,199
pef,198
address,197
tuesday,196
gc,195
begin,195
cec,195
demand,194
go,193
book,193
possibl,193
thru,192
move,192
comcc,191
done,191
weissman,191
doc,191
pay,191
hplo,190
agre,189
handl,186
person,185
zero,184
buyback,184
pipe,184
develop,183
jame,183
gather,183
hour,182
access,182
enronsubject,182
phone,181
spreadsheet,181
natur,181
click,180
abl,179
free,179
keep,178
copi,178
dec,178
carlo,177
katherin,176
control,176
support,176
locat,175
produc,174
unit,172
logist,172
camp,172
field,172
data,172
allen,172
requir,169
pop,168
adjust,167
good,166
firm,166
enronxg,166
bill,166
way,165
said,165
peopl,165
right,164
wynn,164
kati,163
mike,161
buy,160
rita,160
increas,160
offer,160
reflect,160
equistar,159
track,159
home,158
swing,158
wednesday,158
imbal,158
option,157
anita,157
state,157
period,155
calpin,154
sell,154
final,154
talk,153
william,153
valid,152
differ,152
advis,152
anyth,151
survey,151
gco,150
cost,149
cover,149
ee,149
industri,148
entex,147
soon,147
someon,146
expect,146
prior,146
aep,145
record,144
form,144
get,144
must,144
hope,143
cotton,143
detail,141
ray,141
brenda,141
interest,141
expir,140
