,subject_after_pipeline,text_after_pipeline,label
0,enron methanol meter,follow note gave monday preliminaryflow data provid daren pleas overrid pop daili volum present zero reflect dailyact obtain ga control chang need asap econom purpos,0
1,hpl nom januari,see attach file hplnol xl hplnol xl,0
2,neon retreat,around wonder time year neon leader retreat time know time year extrem hectic tough think anyth past holiday life past week decemb januari think minut calend hand begin fall semest retreat schedul weekend januari youth minist confer brad dustin connect week go chang date follow weekend januari come part need think think agre import togeth time recharg batteri far spring semest lot troubl difficult away without kid etc brad came potenti altern togeth weekend let know prefer first option retreat similar done past sever year year heartland countri inn outsid brenham nice place bedroom bedroom hous side side countri real relax close brenham one hour minut golf shop antiqu craft store brenham eat dinner togeth ranch spend time meet saturday return sunday morn done past second option stay houston dinner togeth nice restaur dessert time visit recharg one home saturday even might easier trade much time togeth let decid email back prefer cours avail weekend democrat process prevail major vote rule let hear soon possibl prefer end weekend vote way complain allow tend great weekend great golf great fish great shop whatev make happi bobbi,0
3,photoshop window offic cheap main trend,abas darer prudent fortuit undergonelightheart charm orinoco tasterrailroad affluent pornograph cuvierirvin parkhous blameworthi chlorophyllrob diagrammat fogarti clear baydainconvenienc manag repres smart hashishacademi sharehold unload badnessdanielson pure caffeinspaniard chargeabl levin,1
4,indian spring,deal book teco pvr revenu understand tecojust send check receiv answer whether apredermin price associ deal teco let know whatw give continu chase deal need,0
5,ehronlin web address chang,messag intend ehronlin user due recent chang ehronlin url aka web address access ehronlin need chang comput chang involv ad letter refer url url access ehronlin http ehronlin enron chang made ad url favorit browser,0
6,spring save certif take,save use custom appreci spring savingscertif foot locker ladi foot locker kid foot locker atour onlin store welcom custom appreci spring save certif use special certif receiv purchas either store onlin hurri day sale begin thursday march end sunday march share save today mail offer friend mani item alreadi reduc discount taken lowest sale price click print custom appreci spring save certif must present coupon foot locker ladi foot locker kid foot locker store foot locker canada particip program readi set save spring save discount automat appear use link type camlem promot code box checkout footlock certif code camlem ladyfootlock certif code camlem kidsfootlock certif code camlem rememb return hassl free simpli bring item store nationwid mail left regist today learn new product promot event special simpli click term condit exclus appli pleas see manag complet detail certif must present time purchas use conjunct discount offer associ benefit redeem cash applic tax must paid bearer appli prior purchas gift card purchas void prohibit licens regul catalog exclus appli valid thursday sunday foot locker canada particip program wish receiv futur email pleas click tounsubscrib,0
7,look medic best sourc,difficult make materi condit better best law easi enough ruin bad law excus found thebest simpliest site formed net perscript easydeliveri privat secur easi better see rightli pound week squint million gotanyth want erect treatment pill anti depress pill weight loss andmor splice bombahakcx knowledg human power synonym high qualiti stuff low rate moneyback guarante god natur sufficeth unto wise hath need author,1
8,nom actual flow,agre forward melissa jone texa util eileen ponton amto david avila lsp enserch charli stone texa util melissajon texa util hpl schedul enron liz bellami enron comcc subject nom actual flow date nom flow mcf flow mmbtu btu,0
9,nomin oct,see attach file hplnl xl hplnl xl,0
10,vocabl rnd word ascetic,vcsc brand new stock attentionvocalscap inc stock symbol vcscvcsc top stock pick month april stock expect tobounc cent levelth stock hit time low bounc backstock go explod next day watch soarwatch stock crazi next week break news vocalscap inc announc agreement resel mix networkservicescurr price expect project specul price next day expect project specul price next day vocalscap network inc build compani revolution thetelecommun industri afford phone system hardwar onlin softwar rate canada vocalscap compani withglob reach receiv intern attent develop voiceov voip applic solut includ award win eyefontm asoftphon real time phone advanc implement pbxsystem compani call center itsp servic provid vocalscap creat softwar interact solut revolv aroundglob commun data voic converg compani use vocalscap forvoic internet protocol applic pbx softswitch phoneand web phone provid real time human interact inform deliveryov internet vocalscap solut busi offer aqual voic servic anywher world rate significantlylow current long distanc charg develop softwar run voipnetwork sell instal servic brand voip gateway andgatekeep control softwar licens softwar custom wantto brand voip solut vocalscap commit make great technolog challeng statu quo build centuri compani chang way busi communicateand interact internet current price expect project specul price next day expect project specul price next day break news vocalscap inc announc agreement resel mix networkservic katonah prnewswir firstcal via comtex vocalscap inc pink vcsc emerg leader develop voic internet protocol voip telephoni solut announc today enter sale agent agreementwith mix network inc voip enhanc telephoni servic provid agreement provid vocalscap turnkey call card custom accessto mix network servic includ north american did phone number anddomest long distanc termin vocalscap abl suppli theirclient enhanc voip product includ pre paid call mixnetwork north american network excit help compani launch voip busi model use solutionwith whole pictur softwar network need rout thecal mix network give abil offer wholesal monthli flat rateplan did client allow build busi model likepopular voip compani vonag packet say ryan gibson vpvocalscap networkssom legal word continu inform within email contain forward look statement within themean section secur act section thesecur exchang act statement express involvediscuss respect predict goal expect belief plan project object assumpt futur event perform notstat histor fact may forward look statement forwardlook statement base expect estim project thetim statement made involv number risk uncertaintieswhich caus actual result event differ materi thosepres anticip forward look statement action may beidentifi use word project forese expect estim believ understand part anticip thatbi statement indic certain action may might occur allinform provid within email pertain invest stock secur must understood inform provid invest advic emerg equiti alert advis reader subscrib seek advic aregist profession secur repres decid trade instock featur within email none materi within report shallb constru kind invest advic pleas mind theinterpret witer newslett news publish thecompani repres compani offici statement fact may differfrom real mean news releas meant say look newsreleas judg detail complianc section disclos hold vcsc share priorto public report awar inher conflict interestresult hold due intent profit liquid ofthes share share may sold time even posit statementshav made regard compani share aninher conflict interest statement opinion reader thispubl caution place undu relianc forward lookingstat base certain assumpt expect involvingvari risk uncertainti caus result differ materiallyfrom set forth forward look statement pleas advis noth within email constitut solicitationor invit posit sell secur mention herein thisnewslett neither regist invest advisor affili anybrok dealer newslett paid third parti send thisreport statement made express opinion treateda may take posit sell secur mention anytim report includ forward look statement within mean thepriv secur litig reform act statement may includeterm project specul price expect believ may soar move undervalu intend similar term,1
11,report,wffur attion brom est inst siupi pgst riw asent rest tont presyou tew con benco yee fater ust lyughtatum inenc sorepit grather aici graghteav allar oariti wow yur coon mer oit ithat yoit berst thar enth exciv,1
12,enron hpl actual august,teco tap enron hpl ga dailyl hpl lsk enron,0
13,vic odin,bern hotbox carnal bride cutworm dyadicguardia continu born gremlin akin counterflow hereaft vocabularian pessimum yaound cannel bitch penetr demagogu arbitrari egregi adenosin rubin gil luminos delicti yarmulk sautern selfadjoint agleam exet picofarad consul dichotom boyhood balfour spheric frey pillori hoosier fibonacci cat hand,1
14,tenaska juli,darren pleas remov price tenaska sale deal juli enter demand fee amount thank megan,0
