,frequency,frequency_ham,frequency_spam,P(word),P(word|ham),P(word|spam)
ect,11780,11776,4,0.03419021718624381,0.047276654341655726,4.190412336573919e-05
hou,7283,7279,4,0.021138145311325438,0.029222721378474186,4.190412336573919e-05
enron,5768,5768,0,0.01674101636080257,0.023156567785552837,0.0
deal,3371,3272,99,0.009783974714331739,0.013135972571832332,0.001037127053302045
pleas,2905,2465,440,0.00843145848268576,0.009896140705857792,0.00460945357023131
ga,2809,2654,155,0.008152828529385302,0.010654911737665956,0.0016237847804223937
meter,2510,2508,2,0.007285012320668248,0.01006877115224801,2.0952061682869596e-05
hpl,2204,2204,0,0.0063968793445230345,0.008848314042884614,0.0
thank,2013,1853,160,0.005842521833268997,0.007439167840955168,0.0016761649346295675
need,1901,1586,315,0.005517453554418462,0.006367253208718239,0.003299949715051961
forward,1777,1580,197,0.005157556531405369,0.006343165239454488,0.002063778075762655
corp,1758,1698,60,0.005102411019814653,0.006816895301641595,0.0006285618504860878
daren,1697,1697,0,0.0049253649036549866,0.006812880640097637,0.0
price,1585,944,641,0.0046002966248044515,0.0037898404974968584,0.006715135769359705
volum,1554,1532,22,0.004510322369051178,0.0061504614853444784,0.00023047267851156555
subject,1517,1372,145,0.004402933741216626,0.005508115638311112,0.0015190244720080456
know,1497,1347,150,0.00434488583427903,0.005407749099712149,0.0015714046262152196
day,1426,1190,236,0.0041388157646505665,0.004777447237310659,0.002472343278578612
ectcc,1386,1386,0,0.004022719950775375,0.005564320899926532,0.0
mmbtu,1354,1354,0,0.003929843299675222,0.005435851730519858,0.0
pmto,1345,1343,2,0.0039037217415533038,0.005391690453536315,2.0952061682869596e-05
new,1339,933,406,0.0038863073694720253,0.0037456792205133147,0.0042532685216225274
may,1310,912,398,0.0038021379044125116,0.0036613713280901853,0.004169460274891049
compani,1219,419,800,0.0035380199278464515,0.0016821431869186267,0.008380824673147838
chang,1196,1134,62,0.0034712648348682166,0.0045526261908489804,0.0006495139121689574
product,1189,823,366,0.0034509480674400584,0.0033040664506778757,0.0038342272879651356
see,1155,970,185,0.0033522666256461456,0.0038942216976397804,0.0019380657056654374
attach,1126,1104,22,0.0032680971605866323,0.004432186344530224,0.00023047267851156555
nom,1123,1122,1,0.0032593899745459926,0.004504450252321478,1.0476030841434798e-05
let,1106,1031,75,0.0032100492536490366,0.004139116051821251,0.0007857023131076098
amto,1095,1093,2,0.003178122904833359,0.00438802506754668,2.0952061682869596e-05
farmer,1084,1069,15,0.0031461965560176815,0.004291673190491676,0.00015714046262152196
inform,1068,654,414,0.003099758230467605,0.002625588649748883,0.004337076768354006
time,1056,663,393,0.0030649294863050475,0.0026617206036445096,0.004117080120683876
contract,1024,981,43,0.0029720528352048946,0.003938382974623325,0.0004504693261816963
xl,1019,1019,0,0.002957540858470496,0.004090940113293749,0.0
messag,999,727,272,0.0028994929515329003,0.0029186589424578563,0.0028494803888702647
month,973,827,146,0.0028240306725140257,0.0033201250968537097,0.0015295005028494804
nomin,958,940,18,0.0027804947423108292,0.0037737818513210244,0.00018856855514582635
mail,953,687,266,0.00276598276557643,0.0027580724806995148,0.002786624203821656
